group_type,source_id,energy_keV,thickness_mm,feature,feature_family,train_oriented_auc,validation_auc_same_orientation,orientation_sign_for_magnetite,train_cohen_d_magnetite_minus_hematite
single_source_fixed_thickness,mono_200kev,200.0,20.0,Rsig050_e_120_inf,detector_response,0.7025,0.7675000000000001,1,0.7357353217963856
single_source_fixed_thickness,mono_200kev,200.0,20.0,T_e_120_inf,calibrated_transmission,0.7015625,0.76125,1,0.7353786841096004
single_source_fixed_thickness,mono_200kev,200.0,20.0,A_e_120_inf,attenuation,0.7015625,0.76125,-1,-0.7347385430942747
single_source_fixed_thickness,mono_200kev,200.0,20.0,A_per_mm_e_120_inf,thickness_normalized_attenuation,0.7015625,0.76125,-1,-0.7347385430942732
single_source_fixed_thickness,mono_200kev,200.0,20.0,direct_primary_count,scatter_direct,0.7315624999999999,0.735,1,0.8564075296587983
single_source_fixed_thickness,mono_150kev,150.0,20.0,Rsig020_e_120_inf,detector_response,0.6175,0.7200000000000001,1,0.3863068196023583
single_source_fixed_thickness,mono_150kev,150.0,20.0,T_e_120_inf,calibrated_transmission,0.61875,0.72,1,0.38354080797653844
single_source_fixed_thickness,mono_150kev,150.0,20.0,A_e_120_inf,attenuation,0.61875,0.72,-1,-0.38652536267143717
single_source_fixed_thickness,mono_150kev,150.0,20.0,A_per_mm_e_120_inf,thickness_normalized_attenuation,0.61875,0.72,-1,-0.38652536267142923
single_source_fixed_thickness,mono_200kev,200.0,10.0,Rsig020_e_120_inf,detector_response,0.676875,0.6950000000000001,1,0.641774667408867
single_source_fixed_thickness,mono_200kev,200.0,10.0,Rsig050_e_120_inf,detector_response,0.676875,0.695,1,0.6426278822123654
single_source_fixed_thickness,mono_200kev,200.0,10.0,T_e_120_inf,calibrated_transmission,0.676875,0.6925,1,0.6441772376247449
single_source_fixed_thickness,mono_200kev,200.0,10.0,A_e_120_inf,attenuation,0.676875,0.6925,-1,-0.6425728478941019
single_source_fixed_thickness,mono_200kev,200.0,10.0,A_per_mm_e_120_inf,thickness_normalized_attenuation,0.676875,0.6925,-1,-0.6425728478941157
single_source_fixed_thickness,mono_50kev,50.0,5.0,Rsig050_e_040_050,detector_response,0.665,0.685,-1,-0.5960210811281799
single_source_fixed_thickness,mono_90kev,90.0,10.0,Rsig020_e_060_070,detector_response,0.5496875,0.6825,-1,-0.18195744079538997
single_source_fixed_thickness,mono_50kev,50.0,5.0,A_low_0_80,attenuation,0.6646875000000001,0.67875,1,0.590444310886151
single_source_fixed_thickness,mono_50kev,50.0,5.0,T_low_0_80,calibrated_transmission,0.6646875,0.67875,-1,-0.5956972214111333
single_source_fixed_thickness,mono_50kev,50.0,5.0,dual_log_ratio_low_high,attenuation,0.6646875,0.67875,-1,-0.590444310886151
single_source_fixed_thickness,mono_50kev,50.0,5.0,Rsig050_e_050_060,detector_response,0.66625,0.6775,-1,-0.6040736161783354
single_source_fixed_thickness,mono_150kev,150.0,20.0,direct_primary_count,scatter_direct,0.6224999999999999,0.6775,1,0.42053558305383054
single_source_all_thickness,mono_200kev,200.0,all,A_per_mm_e_120_inf,thickness_normalized_attenuation,0.6637152777777778,0.6654166666666668,-1,-0.6036733389956114
single_source_fixed_thickness,mono_90kev,90.0,20.0,theta_std,spectral_shape,0.57375,0.6599999999999999,-1,-0.0340609534298689
single_source_fixed_thickness,mono_90kev,90.0,10.0,Rsig050_e_060_070,detector_response,0.5525,0.645,-1,-0.17349453538299422
single_source_fixed_thickness,mono_70kev,70.0,5.0,Rsig050_e_070_080,detector_response,0.6106250000000001,0.6425000000000001,-1,-0.41493274241969935
single_source_fixed_thickness,mono_70kev,70.0,5.0,Rsig020_e_060_070,detector_response,0.614375,0.6425,-1,-0.4384849591677542
single_source_fixed_thickness,mono_70kev,70.0,5.0,Rsig050_e_060_070,detector_response,0.6118750000000001,0.64,-1,-0.4299056881781557
single_source_fixed_thickness,mono_70kev,70.0,10.0,Rsig050_e_060_070,detector_response,0.6365625,0.6399999999999999,-1,-0.45178425952773565
single_source_fixed_thickness,mono_70kev,70.0,5.0,detector_gamma_rate,calibrated_transmission,0.61,0.6387499999999999,-1,-0.4245036226973565
single_source_fixed_thickness,mono_70kev,70.0,5.0,primary_transmission_rate,calibrated_transmission,0.61,0.6387499999999999,-1,-0.42498322732112137
single_source_fixed_thickness,mono_70kev,70.0,10.0,Rsig050_e_070_080,detector_response,0.6371875,0.635,-1,-0.4504310776364706
single_source_fixed_thickness,mono_200kev,200.0,5.0,direct_primary_count,scatter_direct,0.6443749999999999,0.62875,1,0.4998751549059523
single_source_fixed_thickness,mono_150kev,150.0,10.0,T_high_80_inf,calibrated_transmission,0.6303125,0.6275,1,0.4480359221009978
single_source_fixed_thickness,mono_40kev,40.0,5.0,Rsig020_e_000_040,detector_response,0.5521875,0.625,-1,-0.19358881785705934
single_source_fixed_thickness,mono_40kev,40.0,5.0,Rsig050_e_000_040,detector_response,0.5521875,0.625,-1,-0.1925106706144668
single_source_fixed_thickness,mono_70kev,70.0,10.0,T_e_070_080,calibrated_transmission,0.6356250000000001,0.62125,-1,-0.42953017622302675
single_source_fixed_thickness,mono_70kev,70.0,10.0,A_e_070_080,attenuation,0.635625,0.62125,1,0.4286198828538777
single_source_fixed_thickness,mono_70kev,70.0,10.0,A_per_mm_e_070_080,thickness_normalized_attenuation,0.635625,0.62125,1,0.4286198828538847
single_source_all_thickness,mono_150kev,150.0,all,A_per_mm_e_120_inf,thickness_normalized_attenuation,0.6145138888888889,0.6206944444444444,-1,-0.41490062737822586
single_source_fixed_thickness,mono_40kev,40.0,5.0,detector_gamma_rate,calibrated_transmission,0.550625,0.6175,-1,-0.191738318202549
single_source_fixed_thickness,mono_40kev,40.0,5.0,primary_transmission_rate,calibrated_transmission,0.550625,0.6175,-1,-0.191738318202549
single_source_fixed_thickness,mono_150kev,150.0,10.0,Rsig020_e_120_inf,detector_response,0.630625,0.6174999999999999,1,0.4618145024704382
single_source_fixed_thickness,mono_150kev,150.0,10.0,T_e_120_inf,calibrated_transmission,0.630625,0.6174999999999999,1,0.461725434786222
single_source_fixed_thickness,mono_150kev,150.0,10.0,A_e_120_inf,attenuation,0.630625,0.6174999999999999,-1,-0.46083917655807927
single_source_fixed_thickness,mono_150kev,150.0,10.0,A_per_mm_e_120_inf,thickness_normalized_attenuation,0.630625,0.6174999999999999,-1,-0.4608391765580702
single_source_fixed_thickness,mono_200kev,200.0,5.0,A_high_80_inf,attenuation,0.6346875000000001,0.6112500000000001,-1,-0.5063650759446373
single_source_fixed_thickness,mono_40kev,40.0,5.0,direct_primary_count,scatter_direct,0.55625,0.6100000000000001,-1,-0.20454481477725608
single_source_fixed_thickness,mono_90kev,90.0,20.0,T_low_0_80,calibrated_transmission,0.5675,0.6075,-1,-0.2742109119056819
single_source_fixed_thickness,mono_90kev,90.0,20.0,A_low_0_80,attenuation,0.5675,0.6075,1,0.17227432134220552
single_source_fixed_thickness,mono_200kev,200.0,5.0,T_e_120_inf,calibrated_transmission,0.638125,0.6074999999999999,1,0.5168650943305053
single_source_fixed_thickness,mono_200kev,200.0,5.0,A_e_120_inf,attenuation,0.638125,0.6074999999999999,-1,-0.5163836665985592
single_source_fixed_thickness,mono_200kev,200.0,5.0,A_per_mm_e_120_inf,thickness_normalized_attenuation,0.638125,0.6074999999999999,-1,-0.5163836665985694
single_source_fixed_thickness,mono_150kev,150.0,5.0,Rsig050_e_120_inf,detector_response,0.614375,0.605,1,0.41307284042309544
single_source_fixed_thickness,mono_150kev,150.0,5.0,T_e_120_inf,calibrated_transmission,0.613125,0.6012500000000001,1,0.41923358549292083
single_source_all_thickness,mono_70kev,70.0,all,A_per_mm_e_070_080,thickness_normalized_attenuation,0.5736458333333333,0.60125,1,0.21580560279596955
single_source_fixed_thickness,mono_90kev,90.0,20.0,hit_energy_entropy,spectral_shape,0.556875,0.59875,-1,-0.1827198265898543
single_source_all_thickness,mono_90kev,90.0,all,scattered_hit_energy_mean,scatter_direct,0.5338194444444445,0.5969444444444444,1,0.11296738625807044
