group_type,source_id,energy_keV,thickness_mm,model,feature_count,train_samples,validation_samples,top1_accuracy,macro_f1,hematite_recall,magnetite_recall,hm_min_recall,roc_auc_magnetite
single_source_fixed_thickness,mono_200kev,200.0,20.0,ExtraTrees,77,80,40,0.7,0.7,0.7,0.7,0.7,0.7737499999999999
single_source_fixed_thickness,mono_200kev,200.0,5.0,LogisticRegression,71,80,40,0.6,0.6,0.6,0.6,0.6,0.6375
single_source_fixed_thickness,mono_110kev,110.0,10.0,ExtraTrees,67,80,40,0.6,0.6,0.6,0.6,0.6,0.5725
single_source_fixed_thickness,mono_70kev,70.0,10.0,ExtraTrees,52,80,40,0.625,0.6228786926461345,0.7,0.55,0.55,0.715
single_source_fixed_thickness,mono_50kev,50.0,5.0,ExtraTrees,42,80,40,0.55,0.55,0.55,0.55,0.55,0.6525
single_source_fixed_thickness,mono_90kev,90.0,20.0,LogisticRegression,66,80,40,0.625,0.6228786926461345,0.7,0.55,0.55,0.6325000000000001
single_source_fixed_thickness,mono_150kev,150.0,10.0,LogisticRegression,76,80,40,0.55,0.55,0.55,0.55,0.55,0.5825
single_source_fixed_thickness,mono_70kev,70.0,5.0,LogisticRegression,53,80,40,0.625,0.6228786926461345,0.7,0.55,0.55,0.5675
single_source_fixed_thickness,mono_120kev,120.0,5.0,LogisticRegression,75,80,40,0.575,0.5747342088805503,0.6,0.55,0.55,0.5425
single_source_fixed_thickness,mono_90kev,90.0,5.0,LogisticRegression,65,80,40,0.6,0.5989974937343359,0.65,0.55,0.55,0.51
single_source_fixed_thickness,mono_200kev,200.0,10.0,ExtraTrees,76,80,40,0.6,0.595959595959596,0.7,0.5,0.5,0.67875
single_source_fixed_thickness,mono_200kev,200.0,20.0,LogisticRegression,77,80,40,0.6,0.595959595959596,0.7,0.5,0.5,0.6775
single_source_fixed_thickness,mono_90kev,90.0,10.0,ExtraTrees,65,80,40,0.575,0.5725958516656191,0.65,0.5,0.5,0.6699999999999999
single_source_fixed_thickness,mono_50kev,50.0,5.0,LogisticRegression,42,80,40,0.575,0.5725958516656191,0.65,0.5,0.5,0.6525000000000001
single_source_fixed_thickness,mono_200kev,200.0,5.0,ExtraTrees,71,80,40,0.6,0.595959595959596,0.7,0.5,0.5,0.6525
single_source_fixed_thickness,mono_200kev,200.0,10.0,LogisticRegression,76,80,40,0.575,0.5725958516656191,0.65,0.5,0.5,0.6212500000000001
single_source_fixed_thickness,mono_90kev,90.0,10.0,LogisticRegression,65,80,40,0.55,0.5488721804511278,0.6,0.5,0.5,0.59
single_source_fixed_thickness,mono_110kev,110.0,5.0,LogisticRegression,71,80,40,0.55,0.5488721804511278,0.5,0.6,0.5,0.5425
single_source_fixed_thickness,mono_120kev,120.0,20.0,LogisticRegression,76,80,40,0.525,0.5247029393370857,0.5,0.55,0.5,0.5375
single_source_fixed_thickness,mono_120kev,120.0,5.0,ExtraTrees,75,80,40,0.525,0.5247029393370857,0.55,0.5,0.5,0.5287499999999999
single_source_fixed_thickness,mono_150kev,150.0,5.0,LogisticRegression,72,80,40,0.525,0.5247029393370857,0.5,0.55,0.5,0.52
single_source_fixed_thickness,mono_120kev,120.0,10.0,ExtraTrees,76,80,40,0.525,0.5247029393370857,0.55,0.5,0.5,0.49624999999999997
single_source_fixed_thickness,mono_110kev,110.0,20.0,ExtraTrees,70,80,40,0.525,0.5247029393370857,0.5,0.55,0.5,0.49374999999999997
single_source_fixed_thickness,mono_70kev,70.0,20.0,ExtraTrees,53,80,40,0.5,0.5,0.5,0.5,0.5,0.4875
single_source_fixed_thickness,mono_150kev,150.0,10.0,ExtraTrees,76,80,40,0.525,0.5223130106851037,0.45,0.6,0.45,0.62625
single_source_fixed_thickness,mono_70kev,70.0,10.0,LogisticRegression,52,80,40,0.55,0.5454545454545454,0.45,0.65,0.45,0.605
single_source_fixed_thickness,mono_90kev,90.0,20.0,ExtraTrees,66,80,40,0.55,0.5454545454545454,0.45,0.65,0.45,0.5875
single_source_fixed_thickness,mono_110kev,110.0,20.0,LogisticRegression,70,80,40,0.55,0.5454545454545454,0.45,0.65,0.45,0.5825
