method,round_id,samples,top1_accuracy,top2_accuracy,macro_f1,hematite_recall,magnetite_recall,hm_min_recall,pairwise_hm_min_recall,model_size_rank,feature_count
ExtraTrees,1,120,0.5,1.0,0.4998610725201445,0.48333333333333334,0.5166666666666667,0.48333333333333334,0.48333333333333334,0,16129
XGBoost,1,120,0.5166666666666667,1.0,0.5165323701028064,0.5333333333333333,0.5,0.5,0.5,2,16129
PCAExtraTrees,1,120,0.5166666666666667,1.0,0.3693367162015223,0.03333333333333333,1.0,0.03333333333333333,0.03333333333333333,1,16129
HardNegativeExtraTrees,1,120,0.4666666666666667,1.0,0.46651847735482077,0.48333333333333334,0.45,0.45,0.45,3,16129
HardNegativeXGBoost,1,120,0.45,1.0,0.4461538461538462,0.5333333333333333,0.36666666666666664,0.36666666666666664,0.36666666666666664,4,16129
ExtraTrees,2,120,0.5166666666666667,1.0,0.5154553049289892,0.5666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0,16129
XGBoost,2,120,0.49166666666666664,1.0,0.49134875964144253,0.4666666666666667,0.5166666666666667,0.4666666666666667,0.4666666666666667,2,16129
PCAExtraTrees,2,120,0.5,1.0,0.3730407523510972,0.05,0.95,0.05,0.05,1,16129
HardNegativeExtraTrees,2,120,0.5416666666666666,1.0,0.5390739576786088,0.6166666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,3,16129
HardNegativeXGBoost,2,120,0.5416666666666666,1.0,0.5413800291849072,0.5666666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,4,16129
ExtraTrees,3,120,0.5166666666666667,1.0,0.5161290322580645,0.48333333333333334,0.55,0.48333333333333334,0.48333333333333334,0,16129
XGBoost,3,120,0.5,1.0,0.48849104859335035,0.65,0.35,0.35,0.35,2,16129
PCAExtraTrees,3,120,0.4666666666666667,1.0,0.3922127255460589,0.11666666666666667,0.8166666666666667,0.11666666666666667,0.11666666666666667,1,16129
HardNegativeExtraTrees,3,120,0.55,1.0,0.5396419437340154,0.7,0.4,0.4,0.4,3,16129
HardNegativeXGBoost,3,120,0.4583333333333333,1.0,0.45739130434782604,0.5,0.4166666666666667,0.4166666666666667,0.4166666666666667,4,16129
