track,method,family,eval_split,samples,feature_count,top1_accuracy,balanced_accuracy,macro_f1,min_class_recall,hematite_recall,magnetite_recall,hm_min_recall,status,physical_perturbation_profile
v6_physical_robust,ExtraTreesTotalCountOnly,control,validation,400,6,0.215,0.215,0.21474659181587522,0.075,0.125,0.325,0.125,evaluated,__overall__
v6_physical_robust,ExtraTreesLineageOnly,control,validation,400,8,0.1,0.1,0.01818181818181818,0.0,0.0,0.0,0.0,evaluated,__overall__
v6_physical_robust,ExtraTreesTotalCountOnly,control,validation,80,6,0.1875,0.1875,0.18210084033613444,0.0,0.25,0.375,0.25,evaluated,calibration_shift_validation_mid
v6_physical_robust,ExtraTreesLineageOnly,control,validation,80,8,0.1,0.1,0.01818181818181818,0.0,0.0,0.0,0.0,evaluated,calibration_shift_validation_mid
v6_physical_robust,ExtraTreesTotalCountOnly,control,validation,80,6,0.2625,0.2625,0.23294293941352767,0.0,0.0,0.875,0.0,evaluated,combined_validation_mid
v6_physical_robust,ExtraTreesLineageOnly,control,validation,80,8,0.1,0.1,0.01818181818181818,0.0,0.0,0.0,0.0,evaluated,combined_validation_mid
v6_physical_robust,ExtraTreesTotalCountOnly,control,validation,80,6,0.2875,0.2875,0.2745840760546643,0.0,0.25,0.125,0.125,evaluated,nominal
v6_physical_robust,ExtraTreesLineageOnly,control,validation,80,8,0.1,0.1,0.01818181818181818,0.0,0.0,0.0,0.0,evaluated,nominal
v6_physical_robust,ExtraTreesTotalCountOnly,control,validation,80,6,0.175,0.175,0.18309891862523442,0.0,0.125,0.125,0.125,evaluated,resolution_blur_validation_mid
v6_physical_robust,ExtraTreesLineageOnly,control,validation,80,8,0.1,0.1,0.01818181818181818,0.0,0.0,0.0,0.0,evaluated,resolution_blur_validation_mid
v6_physical_robust,ExtraTreesTotalCountOnly,control,validation,80,6,0.1625,0.1625,0.16428855600211095,0.0,0.0,0.125,0.0,evaluated,source_energy_scale_validation_mid
v6_physical_robust,ExtraTreesLineageOnly,control,validation,80,8,0.1,0.1,0.01818181818181818,0.0,0.0,0.0,0.0,evaluated,source_energy_scale_validation_mid
v6_physical_robust,ExtraTreesTotalCountOnly,control,stress_holdout,400,6,0.1525,0.15250000000000002,0.14379715355552186,0.025,0.025,0.475,0.025,evaluated,__overall__
v6_physical_robust,ExtraTreesLineageOnly,control,stress_holdout,400,8,0.1,0.1,0.01818181818181818,0.0,0.0,0.0,0.0,evaluated,__overall__
v6_physical_robust,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.15,0.15,0.1553658183921342,0.0,0.0,0.125,0.0,evaluated,calibration_shift_stress_neg
v6_physical_robust,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.1,0.1,0.01818181818181818,0.0,0.0,0.0,0.0,evaluated,calibration_shift_stress_neg
v6_physical_robust,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.1,0.1,0.01818181818181818,0.0,0.0,1.0,0.0,evaluated,combined_stress_high
v6_physical_robust,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.1,0.1,0.01818181818181818,0.0,0.0,0.0,0.0,evaluated,combined_stress_high
v6_physical_robust,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.1875,0.1875,0.17274539470191644,0.0,0.125,0.125,0.125,evaluated,nominal
v6_physical_robust,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.1,0.1,0.01818181818181818,0.0,0.0,0.0,0.0,evaluated,nominal
v6_physical_robust,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.15,0.15,0.10097902097902098,0.0,0.0,1.0,0.0,evaluated,resolution_blur_stress_high
v6_physical_robust,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.1,0.1,0.01818181818181818,0.0,0.0,0.0,0.0,evaluated,resolution_blur_stress_high
v6_physical_robust,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.175,0.175,0.16940603514132926,0.0,0.0,0.125,0.0,evaluated,source_energy_scale_stress_low
v6_physical_robust,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.1,0.1,0.01818181818181818,0.0,0.0,0.0,0.0,evaluated,source_energy_scale_stress_low
