track,method,family,eval_split,samples,feature_count,top1_accuracy,balanced_accuracy,macro_f1,min_class_recall,hematite_recall,magnetite_recall,hm_min_recall,status,physical_perturbation_profile,shuffle_seed
v6_shuffled_label_null,LogisticMulticlassMain,main,validation,80,122,0.075,0.075,0.05217391304347826,0.0,0.0,0.5,0.0,evaluated,calibration_shift_validation_mid,66001
v6_shuffled_label_null,LogisticMulticlassMain,main,validation,80,122,0.0375,0.0375,0.0343859649122807,0.0,0.0,0.0,0.0,evaluated,combined_validation_mid,66001
v6_shuffled_label_null,LogisticMulticlassMain,main,validation,80,122,0.05,0.05,0.061071428571428575,0.0,0.25,0.0,0.0,evaluated,nominal,66001
v6_shuffled_label_null,LogisticMulticlassMain,main,validation,80,122,0.075,0.075,0.07243107769423558,0.0,0.0,0.0,0.0,evaluated,resolution_blur_validation_mid,66001
v6_shuffled_label_null,LogisticMulticlassMain,main,validation,80,122,0.1,0.1,0.10700280112044817,0.0,0.125,0.375,0.125,evaluated,source_energy_scale_validation_mid,66001
v6_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,122,0.05,0.05,0.04871794871794872,0.0,0.125,0.0,0.0,evaluated,calibration_shift_stress_neg,66001
v6_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,122,0.0625,0.0625,0.05159774436090225,0.0,0.0,0.0,0.0,evaluated,combined_stress_high,66001
v6_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,122,0.075,0.075,0.083003663003663,0.0,0.0,0.125,0.0,evaluated,nominal,66001
v6_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,122,0.05,0.05,0.048119047619047624,0.0,0.0,0.125,0.0,evaluated,resolution_blur_stress_high,66001
v6_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,122,0.1125,0.1125,0.09214772865668006,0.0,0.0,0.0,0.0,evaluated,source_energy_scale_stress_low,66001
v6_shuffled_label_null,LogisticMulticlassMain,main,validation,80,122,0.15,0.15,0.12592822636300896,0.0,0.0,0.0,0.0,evaluated,calibration_shift_validation_mid,66002
v6_shuffled_label_null,LogisticMulticlassMain,main,validation,80,122,0.1,0.1,0.08107384403036576,0.0,0.375,0.0,0.0,evaluated,combined_validation_mid,66002
v6_shuffled_label_null,LogisticMulticlassMain,main,validation,80,122,0.0625,0.0625,0.052582683017465624,0.0,0.0,0.0,0.0,evaluated,nominal,66002
v6_shuffled_label_null,LogisticMulticlassMain,main,validation,80,122,0.05,0.05,0.05462184873949579,0.0,0.0,0.0,0.0,evaluated,resolution_blur_validation_mid,66002
v6_shuffled_label_null,LogisticMulticlassMain,main,validation,80,122,0.1375,0.1375,0.124975845410628,0.0,0.375,0.0,0.0,evaluated,source_energy_scale_validation_mid,66002
v6_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,122,0.05,0.05,0.040444444444444436,0.0,0.125,0.0,0.0,evaluated,calibration_shift_stress_neg,66002
v6_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,122,0.1125,0.1125,0.07314507198228129,0.0,0.25,0.0,0.0,evaluated,combined_stress_high,66002
v6_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,122,0.125,0.125,0.11730769230769231,0.0,0.125,0.0,0.0,evaluated,nominal,66002
v6_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,122,0.0875,0.0875,0.04253393665158371,0.0,0.0,0.0,0.0,evaluated,resolution_blur_stress_high,66002
v6_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,122,0.0375,0.0375,0.0325,0.0,0.0,0.0,0.0,evaluated,source_energy_scale_stress_low,66002
v6_shuffled_label_null,LogisticMulticlassMain,main,validation,80,122,0.0875,0.0875,0.10803631151457238,0.0,0.125,0.0,0.0,evaluated,calibration_shift_validation_mid,66003
v6_shuffled_label_null,LogisticMulticlassMain,main,validation,80,122,0.1125,0.1125,0.120007326007326,0.0,0.25,0.0,0.0,evaluated,combined_validation_mid,66003
v6_shuffled_label_null,LogisticMulticlassMain,main,validation,80,122,0.1375,0.1375,0.1312295590172828,0.0,0.125,0.125,0.125,evaluated,nominal,66003
v6_shuffled_label_null,LogisticMulticlassMain,main,validation,80,122,0.1125,0.1125,0.09036682615629983,0.0,0.125,0.0,0.0,evaluated,resolution_blur_validation_mid,66003
