eval_split,physical_perturbation_profile,method,hm_min_recall_p95,macro_f1_p95
stress_holdout,calibration_shift_stress_neg,LogisticMulticlassMain,0.06874999999999987,0.14300922142312297
stress_holdout,combined_stress_high,LogisticMulticlassMain,0.125,0.12937431494336865
stress_holdout,nominal,LogisticMulticlassMain,0.06874999999999987,0.1437286835971046
stress_holdout,resolution_blur_stress_high,LogisticMulticlassMain,0.0,0.13136665649165644
stress_holdout,source_energy_scale_stress_low,LogisticMulticlassMain,0.06874999999999987,0.11143777382747971
validation,calibration_shift_validation_mid,LogisticMulticlassMain,0.125,0.14977484472049685
validation,combined_validation_mid,LogisticMulticlassMain,0.0,0.11088638224520575
validation,nominal,LogisticMulticlassMain,0.06874999999999987,0.14300503609774706
validation,resolution_blur_validation_mid,LogisticMulticlassMain,0.06874999999999987,0.13485271212163796
validation,source_energy_scale_validation_mid,LogisticMulticlassMain,0.19374999999999987,0.14615731201240686
