method,eval_split,physical_perturbation_profile,actual,predicted,count,rate
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Albite,Albite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Aragonite,Aragonite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Baryte,Baryte,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Calcite,Calcite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Chalcopyrite,Chalcopyrite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Dolomite,Dolomite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Fluorite,Fluorite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Galena,Galena,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Goethite,Goethite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Gypsum,Gypsum,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Hematite,Hematite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Ilmenite,Ilmenite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Magnesite,Magnesite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Magnetite,Magnetite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Orthoclase,Orthoclase,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Pyrite,Pyrite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Quartz,Quartz,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Rutile,Rutile,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Siderite,Siderite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,calibration_shift_stress_neg,Sphalerite,Sphalerite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Albite,Albite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Aragonite,Aragonite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Baryte,Baryte,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Calcite,Calcite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Chalcopyrite,Chalcopyrite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Dolomite,Dolomite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Fluorite,Fluorite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Galena,Galena,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Goethite,Goethite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Gypsum,Gypsum,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Hematite,Ilmenite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Ilmenite,Ilmenite,1,0.25
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Ilmenite,Siderite,3,0.75
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Magnesite,Magnesite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Magnetite,Magnetite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Orthoclase,Orthoclase,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Pyrite,Pyrite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Quartz,Quartz,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Rutile,Rutile,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Siderite,Siderite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Sphalerite,Fluorite,1,0.25
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Sphalerite,Galena,1,0.25
ExtraTreesMulticlassMain,stress_holdout,combined_stress_high,Sphalerite,Sphalerite,2,0.5
ExtraTreesMulticlassMain,stress_holdout,nominal,Albite,Albite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Aragonite,Aragonite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Baryte,Baryte,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Calcite,Calcite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Chalcopyrite,Chalcopyrite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Dolomite,Dolomite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Fluorite,Fluorite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Galena,Galena,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Goethite,Goethite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Gypsum,Gypsum,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Hematite,Hematite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Ilmenite,Ilmenite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Magnesite,Magnesite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Magnetite,Magnetite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Orthoclase,Orthoclase,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Pyrite,Pyrite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Quartz,Quartz,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Rutile,Rutile,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Siderite,Siderite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,nominal,Sphalerite,Sphalerite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Albite,Albite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Aragonite,Aragonite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Baryte,Baryte,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Calcite,Calcite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Chalcopyrite,Chalcopyrite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Dolomite,Dolomite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Fluorite,Fluorite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Galena,Galena,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Goethite,Goethite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Gypsum,Gypsum,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Hematite,Hematite,3,0.75
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Hematite,Ilmenite,1,0.25
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Ilmenite,Ilmenite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Magnesite,Magnesite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Magnetite,Magnetite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Orthoclase,Orthoclase,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Pyrite,Pyrite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Quartz,Quartz,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Rutile,Rutile,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Siderite,Siderite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,resolution_blur_stress_high,Sphalerite,Sphalerite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,source_energy_scale_stress_low,Albite,Albite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,source_energy_scale_stress_low,Aragonite,Aragonite,4,1.0
ExtraTreesMulticlassMain,stress_holdout,source_energy_scale_stress_low,Baryte,Baryte,4,1.0
ExtraTreesMulticlassMain,stress_holdout,source_energy_scale_stress_low,Calcite,Calcite,4,1.0
