track,method,family,eval_split,samples,feature_count,top1_accuracy,balanced_accuracy,macro_f1,min_class_recall,hematite_recall,magnetite_recall,hm_min_recall,status,physical_perturbation_profile
v7_twenty_material_scalability_scout,ExtraTreesTotalCountOnly,control,validation,400,6,0.21,0.21000000000000002,0.20792427452215181,0.0,0.15,0.0,0.0,evaluated,__overall__
v7_twenty_material_scalability_scout,ExtraTreesLineageOnly,control,validation,400,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,__overall__
v7_twenty_material_scalability_scout,ExtraTreesTotalCountOnly,control,validation,80,6,0.25,0.25,0.242979797979798,0.0,0.25,0.0,0.0,evaluated,calibration_shift_validation_mid
v7_twenty_material_scalability_scout,ExtraTreesLineageOnly,control,validation,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,calibration_shift_validation_mid
v7_twenty_material_scalability_scout,ExtraTreesTotalCountOnly,control,validation,80,6,0.1125,0.1125,0.10678571428571429,0.0,0.0,0.0,0.0,evaluated,combined_validation_mid
v7_twenty_material_scalability_scout,ExtraTreesLineageOnly,control,validation,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,combined_validation_mid
v7_twenty_material_scalability_scout,ExtraTreesTotalCountOnly,control,validation,80,6,0.2125,0.2125,0.1763066508654744,0.0,0.0,0.0,0.0,evaluated,nominal
v7_twenty_material_scalability_scout,ExtraTreesLineageOnly,control,validation,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,nominal
v7_twenty_material_scalability_scout,ExtraTreesTotalCountOnly,control,validation,80,6,0.2375,0.2375,0.23944444444444443,0.0,0.5,0.0,0.0,evaluated,resolution_blur_validation_mid
v7_twenty_material_scalability_scout,ExtraTreesLineageOnly,control,validation,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,resolution_blur_validation_mid
v7_twenty_material_scalability_scout,ExtraTreesTotalCountOnly,control,validation,80,6,0.2375,0.2375,0.2286580086580087,0.0,0.0,0.0,0.0,evaluated,source_energy_scale_validation_mid
v7_twenty_material_scalability_scout,ExtraTreesLineageOnly,control,validation,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,source_energy_scale_validation_mid
v7_twenty_material_scalability_scout,ExtraTreesTotalCountOnly,control,stress_holdout,400,6,0.1425,0.14249999999999996,0.1287198571671435,0.0,0.0,0.05,0.0,evaluated,__overall__
v7_twenty_material_scalability_scout,ExtraTreesLineageOnly,control,stress_holdout,400,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,__overall__
v7_twenty_material_scalability_scout,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.1625,0.1625,0.1538095238095238,0.0,0.0,0.0,0.0,evaluated,calibration_shift_stress_neg
v7_twenty_material_scalability_scout,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,calibration_shift_stress_neg
v7_twenty_material_scalability_scout,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.05,0.05,0.005128205128205128,0.0,0.0,0.0,0.0,evaluated,combined_stress_high
v7_twenty_material_scalability_scout,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,combined_stress_high
v7_twenty_material_scalability_scout,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.2625,0.2625,0.26394411144411145,0.0,0.0,0.25,0.0,evaluated,nominal
v7_twenty_material_scalability_scout,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,nominal
v7_twenty_material_scalability_scout,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.0875,0.0875,0.05689655172413792,0.0,0.0,0.0,0.0,evaluated,resolution_blur_stress_high
v7_twenty_material_scalability_scout,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,resolution_blur_stress_high
v7_twenty_material_scalability_scout,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.15,0.15,0.17666666666666667,0.0,0.0,0.0,0.0,evaluated,source_energy_scale_stress_low
v7_twenty_material_scalability_scout,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,source_energy_scale_stress_low
