track,method,family,eval_split,samples,feature_count,top1_accuracy,balanced_accuracy,macro_f1,min_class_recall,hematite_recall,magnetite_recall,hm_min_recall,status,physical_perturbation_profile,shuffle_seed
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.0625,0.0625,0.05270202020202021,0.0,0.0,0.25,0.0,evaluated,calibration_shift_validation_mid,77001
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.0875,0.0875,0.08589807852965746,0.0,0.0,0.0,0.0,evaluated,combined_validation_mid,77001
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.0375,0.0375,0.04916666666666667,0.0,0.0,0.0,0.0,evaluated,nominal,77001
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.075,0.075,0.05327894327894328,0.0,0.25,0.0,0.0,evaluated,resolution_blur_validation_mid,77001
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.05,0.05,0.0416468253968254,0.0,0.25,0.25,0.25,evaluated,source_energy_scale_validation_mid,77001
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,233,0.0125,0.0125,0.007692307692307693,0.0,0.0,0.25,0.0,evaluated,calibration_shift_stress_neg,77001
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,233,0.05,0.05,0.02578947368421053,0.0,0.0,0.0,0.0,evaluated,combined_stress_high,77001
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,233,0.1,0.1,0.076007326007326,0.0,0.0,0.0,0.0,evaluated,nominal,77001
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,233,0.125,0.125,0.12664835164835164,0.0,0.0,0.0,0.0,evaluated,resolution_blur_stress_high,77001
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,233,0.1125,0.1125,0.09333333333333334,0.0,0.25,0.75,0.25,evaluated,source_energy_scale_stress_low,77001
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.0375,0.0375,0.03611111111111111,0.0,0.0,0.25,0.0,evaluated,calibration_shift_validation_mid,77002
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.075,0.075,0.06714285714285714,0.0,0.0,0.0,0.0,evaluated,combined_validation_mid,77002
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.0875,0.0875,0.08249999999999999,0.0,0.25,0.25,0.25,evaluated,nominal,77002
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.025,0.025,0.02857142857142857,0.0,0.0,0.0,0.0,evaluated,resolution_blur_validation_mid,77002
v7_twenty_material_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.0125,0.0125,0.014285714285714285,0.0,0.0,0.0,0.0,evaluated,source_energy_scale_validation_mid,77002
