query_split,query_profile,query_material,train_profile_filter,candidate_split,candidate_profile,candidate_material,candidate_n,euclidean_distance_zscore
stress_holdout,combined_stress_high,Hematite,__all_train_profiles__,train,resolution_blur_train_high,Ilmenite,6,2.3524673383667554
stress_holdout,combined_stress_high,Hematite,__all_train_profiles__,train,combined_train_high_neg,Hematite,6,2.4085846883332467
stress_holdout,combined_stress_high,Hematite,__all_train_profiles__,train,combined_train_high_neg,Ilmenite,6,2.456348867179441
stress_holdout,combined_stress_high,Hematite,__all_train_profiles__,train,resolution_blur_train_high,Hematite,6,2.4758679780389596
stress_holdout,combined_stress_high,Hematite,__all_train_profiles__,train,combined_train_high_pos,Hematite,6,2.785877641638448
stress_holdout,combined_stress_high,Hematite,__all_train_profiles__,train,combined_train_high_pos,Ilmenite,6,2.8095064087162895
stress_holdout,combined_stress_high,Hematite,__all_train_profiles__,train,hard_negative_peak_shift_train,Hematite,6,3.8094817833864165
stress_holdout,combined_stress_high,Hematite,__all_train_profiles__,train,hard_negative_peak_shift_train,Ilmenite,6,3.955373527083163
stress_holdout,combined_stress_high,Hematite,__all_train_profiles__,train,combined_train_moderate,Ilmenite,6,4.686960605259308
stress_holdout,combined_stress_high,Hematite,__all_train_profiles__,train,combined_train_high_neg,Pyrite,6,5.3290481651292625
stress_holdout,combined_stress_high,Hematite,__all_train_profiles__,train,combined_train_moderate,Hematite,6,5.3304713001921655
stress_holdout,combined_stress_high,Hematite,__all_train_profiles__,train,combined_train_high_pos,Pyrite,6,5.358180311537034
stress_holdout,combined_stress_high,Hematite,combined_train_high_neg,train,combined_train_high_neg,Hematite,6,2.4085846883332467
stress_holdout,combined_stress_high,Hematite,combined_train_high_neg,train,combined_train_high_neg,Ilmenite,6,2.456348867179441
stress_holdout,combined_stress_high,Hematite,combined_train_high_neg,train,combined_train_high_neg,Pyrite,6,5.3290481651292625
stress_holdout,combined_stress_high,Hematite,combined_train_high_neg,train,combined_train_high_neg,Magnetite,6,5.536034276066374
stress_holdout,combined_stress_high,Hematite,combined_train_high_neg,train,combined_train_high_neg,Rutile,6,6.17032784273441
stress_holdout,combined_stress_high,Hematite,combined_train_high_neg,train,combined_train_high_neg,Siderite,6,6.258218129616135
stress_holdout,combined_stress_high,Hematite,combined_train_high_pos,train,combined_train_high_pos,Hematite,6,2.785877641638448
stress_holdout,combined_stress_high,Hematite,combined_train_high_pos,train,combined_train_high_pos,Ilmenite,6,2.8095064087162895
stress_holdout,combined_stress_high,Hematite,combined_train_high_pos,train,combined_train_high_pos,Pyrite,6,5.358180311537034
stress_holdout,combined_stress_high,Hematite,combined_train_high_pos,train,combined_train_high_pos,Magnetite,6,6.074886361589675
stress_holdout,combined_stress_high,Hematite,combined_train_high_pos,train,combined_train_high_pos,Siderite,6,6.337994843146942
stress_holdout,combined_stress_high,Hematite,combined_train_high_pos,train,combined_train_high_pos,Rutile,6,6.369452084769688
stress_holdout,combined_stress_high,Hematite,hard_negative_peak_shift_train,train,hard_negative_peak_shift_train,Hematite,6,3.8094817833864165
stress_holdout,combined_stress_high,Hematite,hard_negative_peak_shift_train,train,hard_negative_peak_shift_train,Ilmenite,6,3.955373527083163
stress_holdout,combined_stress_high,Hematite,hard_negative_peak_shift_train,train,hard_negative_peak_shift_train,Magnetite,6,6.966623338081129
stress_holdout,combined_stress_high,Hematite,hard_negative_peak_shift_train,train,hard_negative_peak_shift_train,Pyrite,6,7.057885280205503
stress_holdout,combined_stress_high,Hematite,hard_negative_peak_shift_train,train,hard_negative_peak_shift_train,Siderite,6,7.186231329222913
stress_holdout,combined_stress_high,Hematite,hard_negative_peak_shift_train,train,hard_negative_peak_shift_train,Rutile,6,7.301543096013737
stress_holdout,combined_stress_high,Hematite,combined_train_moderate,train,combined_train_moderate,Ilmenite,6,4.686960605259308
stress_holdout,combined_stress_high,Hematite,combined_train_moderate,train,combined_train_moderate,Hematite,6,5.3304713001921655
stress_holdout,combined_stress_high,Hematite,combined_train_moderate,train,combined_train_moderate,Siderite,6,6.708260404393388
stress_holdout,combined_stress_high,Hematite,combined_train_moderate,train,combined_train_moderate,Pyrite,6,7.144231450089803
stress_holdout,combined_stress_high,Hematite,combined_train_moderate,train,combined_train_moderate,Magnetite,6,8.493540570892636
stress_holdout,combined_stress_high,Hematite,combined_train_moderate,train,combined_train_moderate,Rutile,6,8.71505145553241
stress_holdout,combined_stress_high,Hematite,resolution_blur_train_high,train,resolution_blur_train_high,Ilmenite,6,2.3524673383667554
stress_holdout,combined_stress_high,Hematite,resolution_blur_train_high,train,resolution_blur_train_high,Hematite,6,2.4758679780389596
stress_holdout,combined_stress_high,Hematite,resolution_blur_train_high,train,resolution_blur_train_high,Pyrite,6,5.828751976760269
stress_holdout,combined_stress_high,Hematite,resolution_blur_train_high,train,resolution_blur_train_high,Magnetite,6,5.9368435172516465
stress_holdout,combined_stress_high,Hematite,resolution_blur_train_high,train,resolution_blur_train_high,Rutile,6,6.408901787757771
stress_holdout,combined_stress_high,Hematite,resolution_blur_train_high,train,resolution_blur_train_high,Siderite,6,6.6660758354862555
stress_holdout,hard_negative_stress_alt,Hematite,__all_train_profiles__,train,combined_train_high_neg,Ilmenite,6,2.870115158996486
stress_holdout,hard_negative_stress_alt,Hematite,__all_train_profiles__,train,combined_train_high_pos,Ilmenite,6,3.1016093710388626
stress_holdout,hard_negative_stress_alt,Hematite,__all_train_profiles__,train,combined_train_high_neg,Hematite,6,3.2806008696516664
stress_holdout,hard_negative_stress_alt,Hematite,__all_train_profiles__,train,resolution_blur_train_high,Ilmenite,6,3.3264571168018784
stress_holdout,hard_negative_stress_alt,Hematite,__all_train_profiles__,train,resolution_blur_train_high,Hematite,6,3.651625358653694
stress_holdout,hard_negative_stress_alt,Hematite,__all_train_profiles__,train,combined_train_high_pos,Hematite,6,3.8682209849400344
stress_holdout,hard_negative_stress_alt,Hematite,__all_train_profiles__,train,combined_train_high_pos,Pyrite,6,4.3538739088794545
stress_holdout,hard_negative_stress_alt,Hematite,__all_train_profiles__,train,combined_train_high_neg,Pyrite,6,4.360726660375061
stress_holdout,hard_negative_stress_alt,Hematite,__all_train_profiles__,train,hard_negative_peak_shift_train,Ilmenite,6,4.577657580015158
stress_holdout,hard_negative_stress_alt,Hematite,__all_train_profiles__,train,resolution_blur_train_high,Pyrite,6,4.795239299559033
stress_holdout,hard_negative_stress_alt,Hematite,__all_train_profiles__,train,hard_negative_peak_shift_train,Hematite,6,4.93081058012824
stress_holdout,hard_negative_stress_alt,Hematite,__all_train_profiles__,train,combined_train_high_neg,Magnetite,6,5.767698305446798
stress_holdout,hard_negative_stress_alt,Hematite,combined_train_high_neg,train,combined_train_high_neg,Ilmenite,6,2.870115158996486
stress_holdout,hard_negative_stress_alt,Hematite,combined_train_high_neg,train,combined_train_high_neg,Hematite,6,3.2806008696516664
stress_holdout,hard_negative_stress_alt,Hematite,combined_train_high_neg,train,combined_train_high_neg,Pyrite,6,4.360726660375061
stress_holdout,hard_negative_stress_alt,Hematite,combined_train_high_neg,train,combined_train_high_neg,Magnetite,6,5.767698305446798
