sample_id,split,material,source_mode,stress_label,source_id,random_seed,thickness_mm,pose_index,seed_block,count_target_bin,clean_context_cell_id,nuisance_cell_id,track,method,prediction,is_correct,physical_perturbation_profile
v8a_evt_1846_56d59f6f6170,stress_holdout,Hematite,custom_diffraction_on,resolution_blur_stress_high,v8a_full20_v8_resolution_blur_stress_high_50kev,985212464,120.0,0,ho_hn_001,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_001_resolution_blur_stress_high_50kev_t120_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|resolution_blur_stress_high|e50|t120|p0|cnominal|ho_hn_001,v8_hard_negative_robust,LogisticMulticlassMain,Magnetite,False,__overall__
v8a_evt_1906_386fbbfaebde,stress_holdout,Hematite,custom_diffraction_on,hard_negative_stress_alt,v8a_full20_v8_hard_negative_stress_alt_50kev,3057239498,120.0,0,ho_hn_001,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_001_hard_negative_stress_alt_50kev_t120_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|hard_negative_stress_alt|e50|t120|p0|cnominal|ho_hn_001,v8_hard_negative_robust,LogisticMulticlassMain,Ilmenite,False,__overall__
v8a_evt_2006_3e438d3edf04,stress_holdout,Hematite,custom_diffraction_on,combined_stress_high,v8a_full20_v8_combined_stress_high_50kev,3790403134,60.0,0,ho_hn_002,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_002_combined_stress_high_50kev_t60_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|combined_stress_high|e50|t60|p0|cnominal|ho_hn_002,v8_hard_negative_robust,LogisticMulticlassMain,Ilmenite,False,__overall__
v8a_evt_2026_e23b6b3a8daf,stress_holdout,Hematite,custom_diffraction_on,hard_negative_stress_alt,v8a_full20_v8_hard_negative_stress_alt_50kev,2627577042,60.0,0,ho_hn_002,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_002_hard_negative_stress_alt_50kev_t60_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|hard_negative_stress_alt|e50|t60|p0|cnominal|ho_hn_002,v8_hard_negative_robust,LogisticMulticlassMain,Ilmenite,False,__overall__
v8a_evt_1766_a7f3057fcfb0,stress_holdout,Hematite,custom_diffraction_on,combined_stress_high,v8a_full20_v8_combined_stress_high_50kev,2348433960,60.0,0,ho_hn_001,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_001_combined_stress_high_50kev_t60_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|combined_stress_high|e50|t60|p0|cnominal|ho_hn_001,v8_hard_negative_robust,ExtraTreesMulticlassMain,Ilmenite,False,__overall__
v8a_evt_1786_d0a79aa73dcf,stress_holdout,Hematite,custom_diffraction_on,hard_negative_stress_alt,v8a_full20_v8_hard_negative_stress_alt_50kev,1185607868,60.0,0,ho_hn_001,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_001_hard_negative_stress_alt_50kev_t60_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|hard_negative_stress_alt|e50|t60|p0|cnominal|ho_hn_001,v8_hard_negative_robust,ExtraTreesMulticlassMain,Ilmenite,False,__overall__
v8a_evt_1826_286321065f93,stress_holdout,Hematite,custom_diffraction_on,calibration_shift_stress_neg,v8a_full20_v8_calibration_shift_stress_neg_50kev,2137433651,120.0,0,ho_hn_001,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_001_calibration_shift_stress_neg_50kev_t120_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|calibration_shift_stress_neg|e50|t120|p0|cnominal|ho_hn_001,v8_hard_negative_robust,ExtraTreesMulticlassMain,Ilmenite,False,__overall__
v8a_evt_1854_c420322c0ea3,stress_holdout,Ilmenite,custom_diffraction_on,resolution_blur_stress_high,v8a_full20_v8_resolution_blur_stress_high_50kev,985212464,120.0,0,ho_hn_001,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_001_resolution_blur_stress_high_50kev_t120_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|resolution_blur_stress_high|e50|t120|p0|cnominal|ho_hn_001,v8_hard_negative_robust,ExtraTreesMulticlassMain,Hematite,False,__overall__
v8a_evt_1906_386fbbfaebde,stress_holdout,Hematite,custom_diffraction_on,hard_negative_stress_alt,v8a_full20_v8_hard_negative_stress_alt_50kev,3057239498,120.0,0,ho_hn_001,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_001_hard_negative_stress_alt_50kev_t120_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|hard_negative_stress_alt|e50|t120|p0|cnominal|ho_hn_001,v8_hard_negative_robust,ExtraTreesMulticlassMain,Ilmenite,False,__overall__
v8a_evt_2026_e23b6b3a8daf,stress_holdout,Hematite,custom_diffraction_on,hard_negative_stress_alt,v8a_full20_v8_hard_negative_stress_alt_50kev,2627577042,60.0,0,ho_hn_002,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_002_hard_negative_stress_alt_50kev_t60_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|hard_negative_stress_alt|e50|t60|p0|cnominal|ho_hn_002,v8_hard_negative_robust,ExtraTreesMulticlassMain,Ilmenite,False,__overall__
v8a_evt_1826_286321065f93,stress_holdout,Hematite,custom_diffraction_on,calibration_shift_stress_neg,v8a_full20_v8_calibration_shift_stress_neg_50kev,2137433651,120.0,0,ho_hn_001,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_001_calibration_shift_stress_neg_50kev_t120_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|calibration_shift_stress_neg|e50|t120|p0|cnominal|ho_hn_001,v8_hard_negative_robust,ExtraTreesMulticlassMain,Ilmenite,False,calibration_shift_stress_neg
v8a_evt_2006_3e438d3edf04,stress_holdout,Hematite,custom_diffraction_on,combined_stress_high,v8a_full20_v8_combined_stress_high_50kev,3790403134,60.0,0,ho_hn_002,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_002_combined_stress_high_50kev_t60_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|combined_stress_high|e50|t60|p0|cnominal|ho_hn_002,v8_hard_negative_robust,LogisticMulticlassMain,Ilmenite,False,combined_stress_high
v8a_evt_1766_a7f3057fcfb0,stress_holdout,Hematite,custom_diffraction_on,combined_stress_high,v8a_full20_v8_combined_stress_high_50kev,2348433960,60.0,0,ho_hn_001,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_001_combined_stress_high_50kev_t60_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|combined_stress_high|e50|t60|p0|cnominal|ho_hn_001,v8_hard_negative_robust,ExtraTreesMulticlassMain,Ilmenite,False,combined_stress_high
v8a_evt_1906_386fbbfaebde,stress_holdout,Hematite,custom_diffraction_on,hard_negative_stress_alt,v8a_full20_v8_hard_negative_stress_alt_50kev,3057239498,120.0,0,ho_hn_001,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_001_hard_negative_stress_alt_50kev_t120_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|hard_negative_stress_alt|e50|t120|p0|cnominal|ho_hn_001,v8_hard_negative_robust,LogisticMulticlassMain,Ilmenite,False,hard_negative_stress_alt
v8a_evt_2026_e23b6b3a8daf,stress_holdout,Hematite,custom_diffraction_on,hard_negative_stress_alt,v8a_full20_v8_hard_negative_stress_alt_50kev,2627577042,60.0,0,ho_hn_002,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_002_hard_negative_stress_alt_50kev_t60_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|hard_negative_stress_alt|e50|t60|p0|cnominal|ho_hn_002,v8_hard_negative_robust,LogisticMulticlassMain,Ilmenite,False,hard_negative_stress_alt
v8a_evt_1786_d0a79aa73dcf,stress_holdout,Hematite,custom_diffraction_on,hard_negative_stress_alt,v8a_full20_v8_hard_negative_stress_alt_50kev,1185607868,60.0,0,ho_hn_001,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_001_hard_negative_stress_alt_50kev_t60_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|hard_negative_stress_alt|e50|t60|p0|cnominal|ho_hn_001,v8_hard_negative_robust,ExtraTreesMulticlassMain,Ilmenite,False,hard_negative_stress_alt
v8a_evt_1906_386fbbfaebde,stress_holdout,Hematite,custom_diffraction_on,hard_negative_stress_alt,v8a_full20_v8_hard_negative_stress_alt_50kev,3057239498,120.0,0,ho_hn_001,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_001_hard_negative_stress_alt_50kev_t120_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|hard_negative_stress_alt|e50|t120|p0|cnominal|ho_hn_001,v8_hard_negative_robust,ExtraTreesMulticlassMain,Ilmenite,False,hard_negative_stress_alt
v8a_evt_2026_e23b6b3a8daf,stress_holdout,Hematite,custom_diffraction_on,hard_negative_stress_alt,v8a_full20_v8_hard_negative_stress_alt_50kev,2627577042,60.0,0,ho_hn_002,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_002_hard_negative_stress_alt_50kev_t60_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|hard_negative_stress_alt|e50|t60|p0|cnominal|ho_hn_002,v8_hard_negative_robust,ExtraTreesMulticlassMain,Ilmenite,False,hard_negative_stress_alt
v8a_evt_1846_56d59f6f6170,stress_holdout,Hematite,custom_diffraction_on,resolution_blur_stress_high,v8a_full20_v8_resolution_blur_stress_high_50kev,985212464,120.0,0,ho_hn_001,nominal,v8a_multiclass_context_v8_hard_negative_robust_stress_holdout_ho_hn_001_resolution_blur_stress_high_50kev_t120_p0_cnominal,v8a_multiclass_context_v8_hard_negative_robust|stress_holdout|twenty_material_hard_negative_from_v7_v1|custom_diffraction_on_twenty_material_hard_negative_phase_space_v1|resolution_blur_stress_high|e50|t120|p0|cnominal|ho_hn_001,v8_hard_negative_robust,LogisticMulticlassMain,Magnetite,False,resolution_blur_stress_high
