split,physical_perturbation_profile,left_material,right_material,left_n,right_n,euclidean_distance_zscore
stress_holdout,combined_stress_high,Hematite,Ilmenite,4,4,2.33874707210144
stress_holdout,combined_stress_high,Hematite,Magnetite,4,4,4.555400860361767
stress_holdout,combined_stress_high,Ilmenite,Siderite,4,4,5.375695651376288
stress_holdout,combined_stress_high,Ilmenite,Rutile,4,4,5.4739091313661525
stress_holdout,combined_stress_high,Hematite,Rutile,4,4,5.577599446487915
stress_holdout,combined_stress_high,Ilmenite,Magnetite,4,4,5.929273077709102
stress_holdout,combined_stress_high,Rutile,Siderite,4,4,6.420307101964133
stress_holdout,combined_stress_high,Hematite,Siderite,4,4,6.775090274680138
stress_holdout,combined_stress_high,Magnetite,Rutile,4,4,7.739328668773498
stress_holdout,combined_stress_high,Goethite,Siderite,4,4,7.968782845963843
stress_holdout,combined_stress_high,Goethite,Ilmenite,4,4,9.815812395196618
stress_holdout,combined_stress_high,Magnetite,Siderite,4,4,10.11335185145992
stress_holdout,combined_stress_high,Goethite,Hematite,4,4,10.594066915963998
stress_holdout,combined_stress_high,Goethite,Rutile,4,4,10.657032579184781
stress_holdout,combined_stress_high,Goethite,Magnetite,4,4,12.202826192698408
stress_holdout,hard_negative_stress_alt,Hematite,Ilmenite,4,4,2.1842131090942885
stress_holdout,hard_negative_stress_alt,Hematite,Magnetite,4,4,4.429243543840835
stress_holdout,hard_negative_stress_alt,Ilmenite,Siderite,4,4,4.885829257174035
stress_holdout,hard_negative_stress_alt,Ilmenite,Rutile,4,4,4.961053504677753
stress_holdout,hard_negative_stress_alt,Hematite,Rutile,4,4,5.115935733506296
stress_holdout,hard_negative_stress_alt,Ilmenite,Magnetite,4,4,5.443954004803472
stress_holdout,hard_negative_stress_alt,Hematite,Siderite,4,4,6.258750658473134
stress_holdout,hard_negative_stress_alt,Magnetite,Rutile,4,4,6.593150655831805
stress_holdout,hard_negative_stress_alt,Rutile,Siderite,4,4,6.679706567110196
stress_holdout,hard_negative_stress_alt,Goethite,Siderite,4,4,7.14322477217961
stress_holdout,hard_negative_stress_alt,Goethite,Ilmenite,4,4,8.583942334767547
stress_holdout,hard_negative_stress_alt,Magnetite,Siderite,4,4,8.95118528434818
stress_holdout,hard_negative_stress_alt,Goethite,Hematite,4,4,9.510003805756476
stress_holdout,hard_negative_stress_alt,Goethite,Rutile,4,4,10.412173024928151
stress_holdout,hard_negative_stress_alt,Goethite,Magnetite,4,4,10.669176102378508
stress_holdout,calibration_shift_stress_neg,Hematite,Ilmenite,4,4,6.981841218411081
stress_holdout,calibration_shift_stress_neg,Ilmenite,Siderite,4,4,14.584471620627014
stress_holdout,calibration_shift_stress_neg,Hematite,Magnetite,4,4,16.11989951156928
stress_holdout,calibration_shift_stress_neg,Hematite,Siderite,4,4,17.51114859114316
stress_holdout,calibration_shift_stress_neg,Ilmenite,Magnetite,4,4,19.20125186111721
stress_holdout,calibration_shift_stress_neg,Goethite,Hematite,4,4,19.818954525704804
stress_holdout,calibration_shift_stress_neg,Goethite,Ilmenite,4,4,20.049505731952895
stress_holdout,calibration_shift_stress_neg,Rutile,Siderite,4,4,20.956819150386828
stress_holdout,calibration_shift_stress_neg,Goethite,Siderite,4,4,22.035128567988988
stress_holdout,calibration_shift_stress_neg,Goethite,Magnetite,4,4,22.193047738418564
stress_holdout,calibration_shift_stress_neg,Hematite,Rutile,4,4,23.607084189817243
stress_holdout,calibration_shift_stress_neg,Ilmenite,Rutile,4,4,23.755037874635608
stress_holdout,calibration_shift_stress_neg,Goethite,Rutile,4,4,25.2439609862584
stress_holdout,calibration_shift_stress_neg,Magnetite,Rutile,4,4,26.079406156900763
stress_holdout,calibration_shift_stress_neg,Magnetite,Siderite,4,4,27.53845472058152
stress_holdout,resolution_blur_stress_high,Hematite,Ilmenite,4,4,2.3660211259190675
stress_holdout,resolution_blur_stress_high,Hematite,Magnetite,4,4,4.786588405378541
stress_holdout,resolution_blur_stress_high,Ilmenite,Siderite,4,4,5.527149382052004
stress_holdout,resolution_blur_stress_high,Ilmenite,Magnetite,4,4,5.781806565631886
stress_holdout,resolution_blur_stress_high,Hematite,Siderite,4,4,6.521950983439872
stress_holdout,resolution_blur_stress_high,Rutile,Siderite,4,4,6.551512623082661
stress_holdout,resolution_blur_stress_high,Hematite,Rutile,4,4,6.737250823666316
stress_holdout,resolution_blur_stress_high,Ilmenite,Rutile,4,4,6.856705395574257
stress_holdout,resolution_blur_stress_high,Goethite,Siderite,4,4,8.294967541701544
stress_holdout,resolution_blur_stress_high,Magnetite,Rutile,4,4,9.163898823903526
stress_holdout,resolution_blur_stress_high,Goethite,Ilmenite,4,4,9.692689629001332
stress_holdout,resolution_blur_stress_high,Magnetite,Siderite,4,4,9.729958520584303
stress_holdout,resolution_blur_stress_high,Goethite,Hematite,4,4,10.520837595447025
stress_holdout,resolution_blur_stress_high,Goethite,Rutile,4,4,11.498960581994519
stress_holdout,resolution_blur_stress_high,Goethite,Magnetite,4,4,11.765063157695318
