track,method,family,eval_split,samples,feature_count,top1_accuracy,balanced_accuracy,macro_f1,min_class_recall,hematite_recall,magnetite_recall,hm_min_recall,status,physical_perturbation_profile
v8_hard_negative_robust,ExtraTreesTotalCountOnly,control,validation,480,6,0.19791666666666666,0.19791666666666669,0.19286763912680666,0.0,0.08333333333333333,0.041666666666666664,0.041666666666666664,evaluated,__overall__
v8_hard_negative_robust,ExtraTreesLineageOnly,control,validation,480,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,__overall__
v8_hard_negative_robust,ExtraTreesTotalCountOnly,control,validation,80,6,0.25,0.25,0.25730158730158725,0.0,0.25,0.0,0.0,evaluated,calibration_shift_validation_mid
v8_hard_negative_robust,ExtraTreesLineageOnly,control,validation,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,calibration_shift_validation_mid
v8_hard_negative_robust,ExtraTreesTotalCountOnly,control,validation,80,6,0.2,0.2,0.17289793539793538,0.0,0.0,0.0,0.0,evaluated,combined_validation_mid
v8_hard_negative_robust,ExtraTreesLineageOnly,control,validation,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,combined_validation_mid
v8_hard_negative_robust,ExtraTreesTotalCountOnly,control,validation,80,6,0.225,0.225,0.20150183150183149,0.0,0.0,0.25,0.0,evaluated,hard_negative_validation_bridge
v8_hard_negative_robust,ExtraTreesLineageOnly,control,validation,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,hard_negative_validation_bridge
v8_hard_negative_robust,ExtraTreesTotalCountOnly,control,validation,80,6,0.175,0.175,0.15264249639249639,0.0,0.0,0.0,0.0,evaluated,nominal
v8_hard_negative_robust,ExtraTreesLineageOnly,control,validation,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,nominal
v8_hard_negative_robust,ExtraTreesTotalCountOnly,control,validation,80,6,0.175,0.175,0.1755133755133755,0.0,0.25,0.0,0.0,evaluated,resolution_blur_validation_mid
v8_hard_negative_robust,ExtraTreesLineageOnly,control,validation,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,resolution_blur_validation_mid
v8_hard_negative_robust,ExtraTreesTotalCountOnly,control,validation,80,6,0.1625,0.1625,0.1592074592074592,0.0,0.0,0.0,0.0,evaluated,source_energy_scale_validation_mid
v8_hard_negative_robust,ExtraTreesLineageOnly,control,validation,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,source_energy_scale_validation_mid
v8_hard_negative_robust,ExtraTreesTotalCountOnly,control,stress_holdout,480,6,0.15625,0.15624999999999997,0.14845723207334388,0.0,0.125,0.125,0.125,evaluated,__overall__
v8_hard_negative_robust,ExtraTreesLineageOnly,control,stress_holdout,480,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,__overall__
v8_hard_negative_robust,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.2,0.2,0.20119408369408368,0.0,0.0,0.0,0.0,evaluated,calibration_shift_stress_neg
v8_hard_negative_robust,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,calibration_shift_stress_neg
v8_hard_negative_robust,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.175,0.175,0.13670940170940168,0.0,0.5,0.5,0.5,evaluated,combined_stress_high
v8_hard_negative_robust,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,combined_stress_high
v8_hard_negative_robust,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.0625,0.0625,0.011666666666666667,0.0,0.0,0.0,0.0,evaluated,hard_negative_stress_alt
v8_hard_negative_robust,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,hard_negative_stress_alt
v8_hard_negative_robust,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.1875,0.1875,0.1779059829059829,0.0,0.0,0.0,0.0,evaluated,nominal
v8_hard_negative_robust,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,nominal
v8_hard_negative_robust,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.175,0.175,0.1655988455988456,0.0,0.0,0.25,0.0,evaluated,resolution_blur_stress_high
v8_hard_negative_robust,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,resolution_blur_stress_high
v8_hard_negative_robust,ExtraTreesTotalCountOnly,control,stress_holdout,80,6,0.1375,0.1375,0.14199346405228758,0.0,0.25,0.0,0.0,evaluated,source_energy_scale_stress_low
v8_hard_negative_robust,ExtraTreesLineageOnly,control,stress_holdout,80,8,0.05,0.05,0.0047619047619047615,0.0,0.0,0.0,0.0,evaluated,source_energy_scale_stress_low
