track,method,family,eval_split,samples,feature_count,top1_accuracy,balanced_accuracy,macro_f1,min_class_recall,hematite_recall,magnetite_recall,hm_min_recall,status,physical_perturbation_profile,shuffle_seed
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.0375,0.0375,0.02727272727272727,0.0,0.0,0.0,0.0,evaluated,calibration_shift_validation_mid,77001
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.0875,0.0875,0.0890151515151515,0.0,0.25,0.0,0.0,evaluated,combined_validation_mid,77001
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.075,0.075,0.05982864357864358,0.0,0.0,0.0,0.0,evaluated,hard_negative_validation_bridge,77001
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.0375,0.0375,0.030202020202020202,0.0,0.0,0.0,0.0,evaluated,nominal,77001
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.025,0.025,0.01944444444444444,0.0,0.0,0.0,0.0,evaluated,resolution_blur_validation_mid,77001
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.0625,0.0625,0.04659090909090909,0.0,0.25,0.0,0.0,evaluated,source_energy_scale_validation_mid,77001
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,233,0.0375,0.0375,0.047619047619047616,0.0,0.0,0.0,0.0,evaluated,calibration_shift_stress_neg,77001
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,233,0.0625,0.0625,0.042067099567099565,0.0,0.0,0.0,0.0,evaluated,combined_stress_high,77001
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,233,0.1,0.1,0.0638188608776844,0.0,0.0,0.0,0.0,evaluated,hard_negative_stress_alt,77001
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,233,0.05,0.05,0.0427020202020202,0.0,0.0,0.25,0.0,evaluated,nominal,77001
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,233,0.0375,0.0375,0.027136752136752134,0.0,0.0,0.0,0.0,evaluated,resolution_blur_stress_high,77001
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,stress_holdout,80,233,0.0625,0.0625,0.06333333333333332,0.0,0.25,0.25,0.25,evaluated,source_energy_scale_stress_low,77001
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.05,0.05,0.061071428571428575,0.0,0.25,0.0,0.0,evaluated,calibration_shift_validation_mid,77002
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.0375,0.0375,0.024444444444444442,0.0,0.0,0.0,0.0,evaluated,combined_validation_mid,77002
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.025,0.025,0.016666666666666666,0.0,0.25,0.0,0.0,evaluated,hard_negative_validation_bridge,77002
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.0625,0.0625,0.05416666666666666,0.0,0.0,0.0,0.0,evaluated,nominal,77002
v8_hard_negative_shuffled_label_null,LogisticMulticlassMain,main,validation,80,233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluated,resolution_blur_validation_mid,77002
