eval_split,physical_perturbation_profile,method,hm_min_recall_p95,macro_f1_p95
stress_holdout,calibration_shift_stress_neg,LogisticMulticlassMain,0.0,0.08855158730158727
stress_holdout,combined_stress_high,LogisticMulticlassMain,0.0,0.08043016989404457
stress_holdout,hard_negative_stress_alt,LogisticMulticlassMain,0.0,0.05585037348272641
stress_holdout,nominal,LogisticMulticlassMain,0.0,0.09085281385281381
stress_holdout,resolution_blur_stress_high,LogisticMulticlassMain,0.0,0.05983051670551669
stress_holdout,source_energy_scale_stress_low,LogisticMulticlassMain,0.13749999999999973,0.08728896103896103
validation,calibration_shift_validation_mid,LogisticMulticlassMain,0.0,0.07593452380952379
validation,combined_validation_mid,LogisticMulticlassMain,0.0,0.07464015151515148
validation,hard_negative_validation_bridge,LogisticMulticlassMain,0.0,0.08086706349206346
validation,nominal,LogisticMulticlassMain,0.0,0.06930014430014428
validation,resolution_blur_validation_mid,LogisticMulticlassMain,0.0,0.05719047619047618
validation,source_energy_scale_validation_mid,LogisticMulticlassMain,0.0,0.07578661616161615
