row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
0,v3_hm_smoke,calibration,AIR_PATH,mono_40kev,1.0,1201,0,5.466,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_calibration_mono_40kev_seed1201.txt,ms_v3_hm_smoke_calibration_mono_40kev_seed1201
1,v3_hm_smoke,calibration,AIR_PATH,mono_40kev,1.0,1301,0,4.349,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_calibration_mono_40kev_seed1301.txt,ms_v3_hm_smoke_calibration_mono_40kev_seed1301
2,v3_hm_smoke,calibration,AIR_PATH,mono_70kev,1.0,1201,0,3.417,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_calibration_mono_70kev_seed1201.txt,ms_v3_hm_smoke_calibration_mono_70kev_seed1201
3,v3_hm_smoke,calibration,AIR_PATH,mono_70kev,1.0,1301,0,2.936,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_calibration_mono_70kev_seed1301.txt,ms_v3_hm_smoke_calibration_mono_70kev_seed1301
4,v3_hm_smoke,calibration,AIR_PATH,mono_110kev,1.0,1201,0,2.748,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_calibration_mono_110kev_seed1201.txt,ms_v3_hm_smoke_calibration_mono_110kev_seed1201
5,v3_hm_smoke,calibration,AIR_PATH,mono_110kev,1.0,1301,0,2.848,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_calibration_mono_110kev_seed1301.txt,ms_v3_hm_smoke_calibration_mono_110kev_seed1301
6,v3_hm_smoke,calibration,AIR_PATH,mono_200kev,1.0,1201,0,3.279,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_calibration_mono_200kev_seed1201.txt,ms_v3_hm_smoke_calibration_mono_200kev_seed1201
7,v3_hm_smoke,calibration,AIR_PATH,mono_200kev,1.0,1301,0,3.038,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_calibration_mono_200kev_seed1301.txt,ms_v3_hm_smoke_calibration_mono_200kev_seed1301
8,v3_hm_smoke,material,Pyrite,mono_40kev,5.0,1201,0,4.728,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_40kev_5mm_seed1201.txt,ms_v3_hm_smoke_pyrite_mono_40kev_5mm_seed1201
9,v3_hm_smoke,material,Pyrite,mono_40kev,5.0,1301,0,3.099,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_40kev_5mm_seed1301.txt,ms_v3_hm_smoke_pyrite_mono_40kev_5mm_seed1301
10,v3_hm_smoke,material,Pyrite,mono_70kev,5.0,1201,0,3.533,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_70kev_5mm_seed1201.txt,ms_v3_hm_smoke_pyrite_mono_70kev_5mm_seed1201
11,v3_hm_smoke,material,Pyrite,mono_70kev,5.0,1301,0,3.535,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_70kev_5mm_seed1301.txt,ms_v3_hm_smoke_pyrite_mono_70kev_5mm_seed1301
12,v3_hm_smoke,material,Pyrite,mono_110kev,5.0,1201,0,3.329,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_110kev_5mm_seed1201.txt,ms_v3_hm_smoke_pyrite_mono_110kev_5mm_seed1201
13,v3_hm_smoke,material,Pyrite,mono_110kev,5.0,1301,0,3.110,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_110kev_5mm_seed1301.txt,ms_v3_hm_smoke_pyrite_mono_110kev_5mm_seed1301
14,v3_hm_smoke,material,Pyrite,mono_200kev,5.0,1201,0,3.053,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_200kev_5mm_seed1201.txt,ms_v3_hm_smoke_pyrite_mono_200kev_5mm_seed1201
15,v3_hm_smoke,material,Pyrite,mono_200kev,5.0,1301,0,3.019,source_models/config/material_sorting_matrix/v3_hm_smoke/ms_v3_hm_smoke_pyrite_mono_200kev_5mm_seed1301.txt,ms_v3_hm_smoke_pyrite_mono_200kev_5mm_seed1301
