row_index,profile,run_role,material,source_id,thickness_mm,random_seed,returncode,elapsed_seconds,config_path,output_prefix
0,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1501,0,10.005,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1501.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1501
1,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1502,0,6.276,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1502.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1502
2,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1503,0,5.468,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1503.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1503
3,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1504,0,3.957,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1504.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1504
4,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1505,0,3.409,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1505.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1505
5,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1506,0,4.194,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1506.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1506
6,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1507,0,3.390,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1507.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1507
7,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1508,0,2.866,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1508.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1508
8,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1509,0,3.067,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1509.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1509
9,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1510,0,4.830,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1510.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1510
10,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1511,0,3.352,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1511.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1511
11,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1512,0,3.934,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1512.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1512
12,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1513,0,4.140,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1513.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1513
13,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1514,0,7.151,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1514.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1514
14,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1515,0,5.338,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1515.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1515
15,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1516,0,5.610,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1516.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1516
16,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1517,0,5.785,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1517.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1517
17,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1518,0,4.332,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1518.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1518
18,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1519,0,3.505,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1519.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1519
19,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1520,0,3.196,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1520.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1520
20,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1601,0,4.037,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1601.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1601
21,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1602,0,3.313,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1602.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1602
22,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1603,0,3.194,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1603.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1603
23,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1604,0,5.348,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1604.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1604
24,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1605,0,4.309,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1605.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1605
25,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1606,0,4.617,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1606.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1606
26,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1607,0,4.133,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1607.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1607
27,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1608,0,3.998,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1608.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1608
28,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1609,0,3.785,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1609.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1609
29,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1610,0,5.671,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1610.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1610
30,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1701,0,4.652,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1701.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1701
31,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1702,0,3.163,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1702.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1702
32,v5_hm_lowwide,calibration,AIR_PATH,mono_15kev,1.0,1703,0,4.019,source_models/config/material_sorting_matrix/v5_hm_lowwide/ms_v5_hm_lowwide_calibration_mono_15kev_seed1703.txt,ms_v5_hm_lowwide_calibration_mono_15kev_seed1703
