profile,run_role,material,source_id,source_mode,source_variant,detector_layout,mono_energy_keV,incidence_angle_deg,beam_half_y_mm,beam_half_z_mm,thickness_mm,random_seed,expected_events,config_path,output_prefix,output_dir
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2101,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2101.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2101,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2102,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2102.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2102,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2103,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2103.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2103,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2104,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2104.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2104,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2105,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2105.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2105,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2106,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2106.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2106,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2107,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2107.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2107,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2108,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2108.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2108,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2109,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2109.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2109,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2110,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2110.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2110,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2111,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2111.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2111,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2112,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2112.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2112,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2201,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2201.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2201,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2202,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2202.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2202,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2203,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2203.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2203,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2204,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2204.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2204,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2205,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2205.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2205,material_sorting_runs/v6c_hm_source_design
v6c_hm_source_design,calibration,AIR_PATH,mono_50kev_normal_narrow,mono,normal_narrow,transmission_plus_side_scatter,50.0,0.0,5.0,5.0,1.0,2206,10000,source_models/config/material_sorting_matrix/v6c_hm_source_design/ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2206.txt,ms_v6c_hm_source_design_calibration_mono_50kev_normal_narrow_seed2206,material_sorting_runs/v6c_hm_source_design
